Name,Version,License,Source
hitimes,1.2.4,ISC,http://github.com/copiousfreetime/hitimes
hotel_beds,1.0.7,MIT,https://www.hotelsindex.com/open-source
htmlentities,4.3.4,MIT,https://github.com/threedaymonk/htmlentities
http-cookie,1.0.2,MIT,https://github.com/sparklemotion/http-cookie
http-cookie,1.0.3,MIT,https://github.com/sparklemotion/http-cookie
httparty,0.14.0,MIT,http://jnunemaker.github.com/httparty
httparty,0.13.7,MIT,http://jnunemaker.github.com/httparty
httparty,0.15.5,MIT,http://jnunemaker.github.com/httparty
httpclient,2.7.2,ruby,https://github.com/nahi/httpclient
httpclient,2.7.1,ruby,https://github.com/nahi/httpclient
httpclient,2.8.3,ruby,https://github.com/nahi/httpclient
httpi,2.1.1,MIT,http://github.com/savonrb/httpi
i18n,0.8.1,MIT,http://github.com/svenfuchs/i18n
i18n,0.8.4,MIT,http://github.com/svenfuchs/i18n
i18n,0.7.0,MIT,http://github.com/svenfuchs/i18n
i18n_data,0.7.0,MIT,https://github.com/grosser/i18n_data
ice_nine,0.11.2,MIT,https://github.com/dkubb/ice_nine
inflection,1.0.0,MIT,http://github.com/Tass/extlib/tree/inflection
io-console,0.4.5,BSD-2-Clause,http://www.ruby-lang.org
io-console,0.4.6,BSD-2-Clause,https://www.ruby-lang.org
ipaddress,0.8.3,MIT,https://github.com/bluemonk/ipaddress
jaro_winkler,1.4.0,MIT,https://github.com/tonytonyjan/jaro_winkler
jasmine-core,2.6.4,MIT,http://jasmine.github.io
jasmine-rails,0.12.6,MIT,http://github.com/searls/jasmine-rails
jbuilder,2.4.1,MIT,https://github.com/rails/jbuilder
jmespath,1.3.1,Apache 2.0,http://github.com/trevorrowe/jmespath.rb
jmespath,1.1.3,Apache 2.0,http://github.com/trevorrowe/jmespath.rb
journey,1.0.4,MIT,http://github.com/rails/journey
jquery-rails,2.2.2,MIT,http://rubygems.org/gems/jquery-rails
jquery-rails,4.1.1,MIT,http://rubygems.org/gems/jquery-rails
jquery-ui-rails,4.0.3,MIT,https://github.com/joliss/jquery-ui-rails
jquery-ui-sass-rails,4.0.3.0,MIT,https://github.com/jhilden/jquery-ui-sass-rails
json,1.8.3,Ruby,https://github.com/flori/json
json,2.1.0,Ruby,http://flori.github.com/json
json,2.0.2,Ruby,http://flori.github.com/json
jwt,1.5.1,MIT,http://github.com/progrium/ruby-jwt
jwt,1.5.6,MIT,http://github.com/jwt/ruby-jwt
kaminari,0.17.0,MIT,https://github.com/amatsuda/kaminari
kaminari,1.0.0.alpha,MIT,https://github.com/amatsuda/kaminari
kgio,2.11.0,LGPL-2.1+,http://bogomips.org/kgio/
koala,3.0.0,MIT,http://github.com/arsduo/koala
launchy,2.4.3,ISC,http://github.com/copiousfreetime/launchy
less,2.6.0,Apache 2.0,http://lesscss.org
less-rails,2.7.1,MIT,http://github.com/metaskills/less-rails
levenshtein-ffi,1.1.0,BSD 2-Clause,http://github.com/dbalatero/levenshtein-ffi
librato-metrics,2.1.1,BSD 3-clause,https://github.com/librato/librato-metrics
librato-metrics,1.6.1,BSD 3-clause,https://github.com/librato/librato-metrics
librato-rack,2.0.2,BSD-3-Clause,https://github.com/librato/librato-rack
librato-rack,1.1.0,BSD-3-Clause,https://github.com/librato/librato-rack
librato-rack,1.0.0,BSD 3-clause,https://github.com/librato/librato-rack
librato-rails,2.1.0,BSD 3-clause,https://github.com/librato/librato-rails
librato-rails,1.4.2,BSD 3-clause,https://github.com/librato/librato-rails
librato-rails,1.3.0,BSD 3-clause,https://github.com/librato/librato-rails
libv8,3.16.14.13,MIT,http://github.com/cowboyd/libv8
listen,3.1.5,MIT,https://github.com/guard/listen
listen,3.0.6,MIT,https://github.com/guard/listen
listen,3.0.8,MIT,https://github.com/guard/listen
lograge,0.3.6,MIT,https://github.com/roidrage/lograge
loofah,2.0.3,MIT,https://github.com/flavorjones/loofah
macaddr,1.7.1,Ruby,https://github.com/ahoward/macaddr
mail,2.5.4,MIT,http://github.com/mikel/mail
mail,2.6.6,MIT,https://github.com/mikel/mail
mail,2.6.4,MIT,https://github.com/mikel/mail
mail,2.6.3,MIT,https://github.com/mikel/mail
mail,2.6.5,MIT,https://github.com/mikel/mail
method_source,0.8.2,MIT,http://banisterfiend.wordpress.com
mime-types,1.25.1,MIT,https://github.com/mime-types/ruby-mime-types/
mime-types,3.1,MIT,https://github.com/mime-types/ruby-mime-types/
mime-types,3,MIT,https://github.com/mime-types/ruby-mime-types/
mime-types,2.99.1,MIT,https://github.com/mime-types/ruby-mime-types/
mime-types,2.99.2,MIT,https://github.com/mime-types/ruby-mime-types/
mime-types,2.99.3,MIT,https://github.com/mime-types/ruby-mime-types/
mime-types-data,3.2016.0521,MIT,https://github.com/mime-types/mime-types-data/
mime-types-data,3.2016.0221,MIT,https://github.com/mime-types/mime-types-data/
mimemagic,0.3.0,MIT,https://github.com/minad/mimemagic
mimemagic,0.3.1,MIT,https://github.com/minad/mimemagic
mini_magick,4.0.4,MIT,https://github.com/minimagick/minimagick
mini_portile2,2.1.0,MIT,http://github.com/flavorjones/mini_portile
mini_portile2,2.2.0,MIT,http://github.com/flavorjones/mini_portile
mini_portile2,2.0.0,MIT,http://github.com/flavorjones/mini_portile
minitest,5.10.1,MIT,https://github.com/seattlerb/minitest
minitest,5.10.2,MIT,https://github.com/seattlerb/minitest
minitest,5.8.4,MIT,https://github.com/seattlerb/minitest
minitest,5.9.0,MIT,https://github.com/seattlerb/minitest
minitest,5.9.1,MIT,https://github.com/seattlerb/minitest
modular-scale,1.0.6,MIT,https://github.com/scottkellum/modular-scale
